# DEFECTS FOUND IN THE SOURCE SKILLS while distilling them into Gaia.
#
# Distillation reads source material closely enough to find things a normal reader would not,
# and those findings are worth more than the distilled prose. They are recorded here rather
# than silently corrected in Gaia, so that anyone still using the source can see them -- and so
# that Gaia's own version can be checked against a stated original.
#
# Verified by the wave lead, not taken on the finder's word.
finding	where	what it says	what is correct	evidence	status
2-D explicit diffusion bound stated as the 1-D one	terrain-architect/references/12-glacial-coastal.md:92 and :1721	"Δt < cellSize² / (2·D_max)" and "Δt < Δx²/(2·D_eff)"	The von Neumann limit for explicit diffusion is Δx²/(2·D) in ONE dimension and Δx²/(4·D) in TWO. The prose permits a timestep twice the stable one for a 2-D grid.	The same chapter's own pseudocode at :114 uses "0.25 cellSize² / max(D)" -- the correct 2-D form -- and reference-impl/glacier.py:85 ships "0.2 * cellsize² / dmax", correct and conservative. So the prose disagrees with both the pseudocode beside it and the code it describes.	confirmed; Gaia carries the correct general form in simulation-time-budget.md
Elfouhaily et al. 1997 is cited without having been read	water-physics/references/12b-water-provenance.md	The unified gravity-capillary spectrum is used, with equations assembled as "an agreed intersection of four restatements"	12b itself records that the paper is paywalled and was not read. Under Gaia's tier rules that cannot be `P` (which asserts a human found the algorithm in the source) and `?` may not be cited at all.	Gaia's wave-models.md names the paper in prose and routes provenance to 12b rather than grading it. This is the tier system working as intended: the honest answer was to not cite.	carried as a deliberate non-citation
capillary-gravity minimum pair is internally inconsistent	water-physics source material	"23.1 cm/s at 1.73 cm"	The two halves do not agree: reconstructing σ from each gives values 2.5% apart.	Gaia's wave-models.md states the inconsistency and derives both halves from one declared σ rather than quoting a pair that cannot both be right.	carried with the inconsistency stated
MY OWN BRIEFS gave the wrong path for the richest source	briefs sent to the simulation and rendering agents	"terrain-renderer/references/12a-water-derivations.md" on the swimming-pool branch	Those files are in water-physics/, not terrain-renderer/: water-physics/references/12a-water-derivations.md (3488 lines), 12b-water-provenance.md (1299), 12-water-physics.md (5229). terrain-renderer/references/12a-... does not exist on that branch.	Verified with git show. The simulation agent found the real paths and used all three; had it complied with the brief instead of checking, the water axis would have been written from the thinner material.	corrected here; the agent was right
MY OWN PLAN AND BRIEFS QUOTED A FILE SIZE THAT DOES NOT EXIST	the approved plan, two agent briefs, and three commit messages	"terrain-renderer/references/12-water-rendering.md is 4177 lines -- the clearest failure in the repo"	No .md file of 4177 lines exists on any branch. That file is 1524 lines on PR #41 and 1691 on main. The genuinely over-long files are water-physics/reference-impl/README-beach.md (5316), water-physics/references/12-water-physics.md (5229) and 12a-water-derivations.md (3488).	Verified with git show across every .md on the branch. The figure came from a survey agent reading a container-rolled-back tree; I repeated it without checking, and it reached an APPROVED PLAN and two briefs. The rendering agent checked and refused it.	corrected in the plan; the argument for a per-file cap stands, the evidence for it did not
the lmax depth ramp on transport capacity is attributed to Stava et al. 2008 across this field, including by Gaia's own first draft	gaia/references/hydraulic-erosion.md sources, and the stava2008 bibliography note	capacity ramped by lmax(d1) cited to [stava2008]	Stava's capacity (eq. 2) is |v|*C_k*sin(alpha), UNRAMPED -- the string `lmax` does not occur in the paper. The ramp is Jako & Toth 2011 eq. (10), lmax(x) = 0 below zero depth, linear, 1 at Kdmax.	PDFs of both papers were fetched and their text extracted; eq. (10) was read in Jako's CESCG 2011 printing (old.cescg.org). The stava2008 entry now states explicitly that it does NOT contain the ramp, so the correction survives in the place a reader checks.	corrected; jako2011 added, and its locator names the CESCG printing because that is the copy whose equation numbering was read
the virtual-pipe model is described as having a depth-dependent signal speed, which is false for the constant cross-section every source actually specifies	gaia/references/shallow-water.md, the stability section	"celerity rises with depth, so a filling pool gets progressively more expensive; recompute the limit from the current state every step"	Mei eq. (2) gives A as a pipe cross-section parameter with no depth dependence, and Stava sec. 4 eq. (1) is decisive: "In our simulation this area is always constant with profile C = l^2". Linearising gives signal speed sqrt(g*A/l) -- an EFFECTIVE depth set by A/l, not the water depth. With Stava's A = l^2 the grid sloshes like water one cell deep no matter how deep the pool is.	Bisected critical dt with the clamp disabled: constant A=1 gives dt_crit 0.1604 at depths 0.1, 1.0 and 10 alike; A = h*lx gives 0.5056 / 0.1599 / 0.0506. The ratio dt_crit/(dx/sqrt(g*A/l)) held at 0.502 across A in {1,4}, l in {1,4}, dx in {1,2} and two decades of depth. Advective speed is not in the constant-A bound either: dt_crit moved only 0.1604 -> 0.1601 as background transport went 0 -> 50 m/s.	corrected; the document now says which bound governs which formulation rather than printing one bound for both
Zevenbergen & Thorne's equation numbering could not be verified, and the locator was deliberately NOT sharpened	gaia/references/terrain-analysis-masks.md, the curvature coefficients	the locator is a topic paraphrase, and stays one	Nothing is known to be wrong. The paper is paywalled, and the reproductions checked (RichDEM docs, RSAGA wiki, SAGA forums, an arXiv roughness paper) give the method without numbered equations.	The coefficients themselves were NOT taken from memory: the 9-point partial-quartic interpolation was solved exactly in rationals (Vandermonde inverse over Fraction) and read off, then checked -- exact to 12 digits on a quadratic surface, second-order convergence on a Gaussian hill (error ratios 4.00/4.00/4.00 per halving of L), plan/sqrt(p) reproducing a contour's 1/r to 7 digits, and the ridge/valley sign convention confirmed. So the MATH is verified while the LOCATOR is not, and those are different claims.	OPEN -- writing "eq. 15" from memory would be a `?` wearing a P's confidence, so the paraphrase stands until someone reads the paper
Perlin 1985 does not contain the cubic fade 3t^2 - 2t^3 it is cited for	gaia/references/noise-and-warping.md front matter and body (before this fix), and gaia/references/papers-generation.md:36-37 (still)	"the original cubic fade 3t^2 - 2t^3" attributed to [perlin1985]; the bibliography entry reads "The original gradient noise, with the cubic fade 3t^2 - 2t^3."	The 1985 paper's Noise section (p. 289) gives only: "we compute a smooth (eg. cubic polynomial) interpolation between lattice equation coefficients". No polynomial appears anywhere in the paper. The formula s(t) = 3t^2-2t^3 and its second derivative 6-12t are written down in Perlin 2002 §2, which attributes the description to Ebert et al. 1998, not to Perlin 1985.	Read both papers in full: An Image Synthesizer, https://www.cse.chalmers.se/edu/year/2015/course/TDA361/Advanced%20Computer%20Graphics/p287-perlin.pdf (pp. 287-296; Noise section on p. 289) and Improving Noise, https://mrl.cs.nyu.edu/~perlin/paper445.pdf (§2, p. 681). Grepped the 1985 text for 3t / 2t / t^2 / t^3 / Hermite / s-curve: no hits.	fixed in noise-and-warping.md; papers-generation.md is another agent's file and still carries the overstatement
A recipe the document calls "no canonical source" is published, in a paper the same document already cites	gaia/references/tectonic-uplift.md, "When you do want plates"	"No canonical source; standard practice is a domain-warped Voronoi partition with per-boundary classification", followed by six steps	Cortial et al. 2019 (already cited in the same document, tier P) contains the spherical form of steps 1-5: §3 seeds plate centroids and defines plates as spherical Voronoi cells, with "warping the geodetic distances to the centroids using a simple noise function" for irregular shapes; §4.1/§4.2/§4.4 branch on subduction, collision and rifting; §4.2 spreads collision uplift over a region of influence R + B(r) with falloff f(x) = (1-(x/r)^2)^2, i.e. step 5's inland diffusion.	Read the paper: https://hal.science/hal-02136820v1/file/2019-Procedural-Tectonic-Planets.pdf, §3 Overview p. 4 and §4.2 Continental collision p. 6.	fixed in tectonic-uplift.md: the planar recipe is now stated as a restatement of a cited method rather than as folklore
Worley 1996 states two different feature-point densities for the same parameter	Worley, A Cellular Texture Basis Function, §Computation of Fn(x)	"In practice, we use a density of about m = 4, but clamp the points in each cell to range between 1 and 9" and, two paragraphs later, "Our implementation was most efficient at about lambda = 3"	Both sentences describe the mean of the same Poisson distribution. The paper never reconciles them; either is defensible, but a reader taking one as the paper's constant will disagree with a reader taking the other.	Read the paper at https://cedric.cnam.fr/~cubaud/PROCEDURAL/worley.pdf, both statements in the section Computation of Fn(x).	noted only; noise-and-warping.md now says "a mean of about 4 per cube, clamped to 1-9", which is the figure given where the distribution is defined
